kind,size,size_kb,root,depth,path,nested_under,rollup_parent
cache-like,2.8 MiB,2900,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Cursor/logs,/Users/yaniv/Library/Application Support/Cursor,false
cache-like,2.8 MiB,2824,/Users/yaniv/Library/Logs,1,/Users/yaniv/Library/Logs/Sonos,,false
cache-like,2.7 MiB,2776,/Users/yaniv/Library/Caches,1,/Users/yaniv/Library/Caches/com.apple.AMPLibraryAgent,,false
support/container,2.7 MiB,2720,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.microsoft.rdc.macos,,false
support/container,2.5 MiB,2516,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.iCal.CalendarWidgetExtension,,false
cache-like,2.4 MiB,2472,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/com.operasoftware.Opera/GrShaderCache,/Users/yaniv/Library/Application Support/com.operasoftware.Opera,false
cache-like,2.4 MiB,2452,/Users/yaniv/Library/Caches,1,/Users/yaniv/Library/Caches/askpermissiond,,false
cache-like,2.3 MiB,2360,/Users/yaniv/Library/Caches,2,/Users/yaniv/Library/Caches/PassKit/PassAssetCache,/Users/yaniv/Library/Caches/PassKit,false
cache-like,2.3 MiB,2316,/Users/yaniv/Library/Logs,2,/Users/yaniv/Library/Logs/zoom.us/zoom_feedback,/Users/yaniv/Library/Logs/zoom.us,false
support/container,2.2 MiB,2260,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.Photos,,false
