app,bundle_id,kind,size,size_kb,reason,path,also_matched_by
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1160/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1115/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1413/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1183/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1425/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1178/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1409/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1237/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1229/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1407/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1133/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1177/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1411/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1191/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1400/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1250/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1383/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1110/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/822/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Profile 1/WebStorage/271/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/591/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1354/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/875/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/806/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1404/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/753/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1189/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1351/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Profile 1/WebStorage/288/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/643/CacheStorage,
Caffeine,com.intelliscapesolutions.caffeine,cache-like,4.0 KiB,4,safe fuzzy exact/segment match,/Users/yaniv/Library/Caches/SentryCrash/Caffeine,
Dropbox,com.getdropbox.dropbox,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Dropbox/DropboxUpdater/123.0.6299.144/Crashpad,
Warp,dev.warp.Warp-Stable,cache-like,4.0 KiB,4,safe fuzzy exact/segment match,/Users/yaniv/Library/Caches/SentryCrash/Warp,
iMovie,com.apple.iMovieApp,support/container,4.0 KiB,4,safe fuzzy exact/segment match,/Users/yaniv/Library/Application Support/iMovie,
Cursor,com.todesktop.230313mzl4w4u92,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Cursor/Crashpad,
Google Chrome Canary,com.google.Chrome.canary,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome Canary/Profile 2/WebStorage/12/CacheStorage,
Google Chrome Canary,com.google.Chrome.canary,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome Canary/Default/WebStorage/55/CacheStorage,
Google Chrome Canary,com.google.Chrome.canary,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome Canary/Profile 1/WebStorage/15/CacheStorage,
Docker,com.docker.docker,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Containers/com.docker.docker/Data/log/host/electron-crash-reports,
Arc,company.thebrowser.Browser,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Arc/User Data/Default/WebStorage/118/CacheStorage,
Arc,company.thebrowser.Browser,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Arc/User Data/Default/WebStorage/30/CacheStorage,
Arc,company.thebrowser.Browser,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Arc/User Data/Default/WebStorage/40/CacheStorage,
Arc,company.thebrowser.Browser,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Arc/User Data/Default/WebStorage/33/CacheStorage,
Arc,company.thebrowser.Browser,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Arc/User Data/Default/WebStorage/101/CacheStorage,
Arc,company.thebrowser.Browser,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Arc/User Data/Default/WebStorage/109/CacheStorage,
Arc,company.thebrowser.Browser,cache-like,4.0 KiB,4,safe fuzzy exact/segment match,/Users/yaniv/Library/Caches/SentryCrash/Arc,
pgAdmin 4,org.pgadmin.pgadmin4,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/pgAdmin 4/Crashpad,
Codex,com.openai.codex,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Codex/Crashpad,
Brave Browser,com.brave.Browser,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/BraveSoftware/Brave-Browser/Crashpad,
Microsoft Edge,com.microsoft.edgemac,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Microsoft Edge/extensions_crx_cache,
Microsoft Edge,com.microsoft.edgemac,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Microsoft Edge/Default/WebStorage/67/CacheStorage,
Microsoft Edge,com.microsoft.edgemac,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Microsoft Edge/Default/WebStorage/58/CacheStorage,
Microsoft Edge,com.microsoft.edgemac,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Microsoft Edge/Default/WebStorage/62/CacheStorage,
Comet,ai.perplexity.comet,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Comet/Default/WebStorage/21/CacheStorage,
Ghostty,com.mitchellh.ghostty,support/container,4.0 KiB,4,bundle-id support,/Users/yaniv/Library/Application Support/com.mitchellh.ghostty,
Firefox,org.mozilla.firefox,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/firefox/Profiles/qycfcm3j.default-release-1711720831586/sessionstore-logs,
Firefox,org.mozilla.firefox,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Firefox/Profiles/qycfcm3j.default-release-1711720831586/sessionstore-logs,
ChatGPT Atlas,com.openai.atlas,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/com.openai.atlas/Crashpad,
Opera,com.operasoftware.Opera,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/com.operasoftware.Opera/extensions_crx_cache,
Opera,com.operasoftware.Opera,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/com.operasoftware.Opera/Default/WebStorage/51/CacheStorage,
